Participant ID,1,1,1,2,3,3,4,4,5,5,6,6,7,7,7,8,8,8,9,9,10,10,11,11,11,12,12,12,12,13,13,13,14,14,14,15,15,15,16,16,17,17,18,18,18,19,19,19,19,20,20,20,21,21,22,22,23,23,24,24
Replicate,1,2,3,1,1,2,1,2,1,2,1,2,1,2,3,1,2,3,1,2,1,2,1,2,3,1,2,3,4,1,2,3,1,2,3,1,2,3,1,2,1,2,1,2,3,1,2,3,4,1,2,3,1,2,1,2,1,2,1,2
Group,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 1,Group 1,Group 2,Group 2
0,919.123,834.821,1227.032,152.91,186,131,540,406,307,189,140,282,564.071,298.783,506.62,295.221,342.331,293.212,564.754,578.906,193.281,287.944,441.721,479.457,558.449,133.5,390.942,407.189,406.213,94.713,124.118,73.916,1112.212,747.835,1086.323,595.233,491.795,408.985,800.394,1221.799,258.223,352.672,95.439,102.981,73.726,1480.701,526.498,574.276,1155.453,345.919,358.793,505.006,106,161,747,444,704,538,159.523,158.988
0.1668,920.718,838.938,1222.663,156.901,203,121,685,510,288,193,148,302,563.009,303.439,506.763,294.169,343.17,294.523,581.508,582.121,203.778,314.142,445.127,483.091,563.356,123.5,397.305,409.621,412.28,94.812,127.433,75.856,1134.266,756.197,1097.5,597.067,488.03,405.678,826.948,1302.709,282.085,355.342,94.344,103.773,72.361,1479.018,528.973,583.327,1166.273,351.159,357.759,504.341,37,210,725,482,727,537,161.031,157.595
0.3336,926.536,829.957,1225.876,157.411,203,122,742,519,282,187,153,308,573.158,309.183,509.595,295.857,341.492,293.326,600.822,571.641,218.427,343.226,448.68,487.388,561.829,176.5,402.113,409.225,410.455,99.068,128.184,77.698,1141.821,772.681,1107.573,592.63,484.517,405.846,851.039,1328.244,297.13,359.474,94.557,102.584,71.28,1498.607,528.648,585.689,1170.658,346.882,361.077,505.984,103,250,704,472,696,509,161.23,156.396
0.5004,922.005,832.11,1218.498,162.01,201,125,763,506,274,179,157,325,576.119,315.781,520.51,295.43,346.911,293.589,626.038,569.885,225.011,372.495,448.767,493.572,568.015,185.5,404.248,416.833,419.251,102.236,127.844,80.446,1150.813,779.686,1113.342,592.573,485.683,405.848,884.628,1349.927,311.976,365.494,97.5,103.264,71.707,1515.381,536.766,590.626,1176.598,352.448,363.184,514.34,104,267,691,456,667,489,162.415,156.561
0.6672,917.688,836.875,1213.635,165.166,198,127,779,499,266,172,161,329,580.757,323.214,527.845,299.789,343.682,298.941,642.972,563.413,239.726,405.118,462.399,492.359,563.074,185,404.403,420.142,420.241,103.862,131.612,82.953,1171.562,799.399,1122.771,588.15,479.08,398.337,906.121,1358.807,328.748,365.732,96.69,100.899,71.565,1515.961,538.351,593.341,1176.725,353.099,365.362,516.903,107,263,690,444,646,486,165.882,159.958
0.834,914.059,838.414,1203.028,168.563,187,127,795,495,262,170,165,336,585.023,325.576,531.391,298.163,342.744,296.591,663.599,558.696,249.968,423.106,456.528,499.031,559.504,185.5,408.179,424.271,425.854,110.055,132.093,85.815,1183.079,806.467,1135.094,589.473,475.982,400.34,942.986,1355.804,340.594,367.998,99.491,100.616,73.342,1528.492,540.119,592.676,1179.172,358.779,366.139,521.024,115,256,684,429,646,488,167.077,156.236
1.0008,911.542,822.959,1209.939,171.833,178,128,817,487,259,164,166,351,584.569,340.437,539.817,296.678,349.058,301.699,681.921,555.637,261.562,452.134,464.054,507.088,563.144,186.5,412.52,431.03,421.81,112.021,136.286,86.92,1189.657,820.118,1145.487,583.755,475.936,398.012,978.761,1339.758,352.907,377.969,101.354,99.271,73.243,1541.674,545.366,592.012,1182.793,364.769,370.396,524.848,127,246,685,418,653,485,170,157.105
1.1676,903.943,820.438,1207.446,172.37,171,128,830,484,250,160,171,356,594.352,342.274,545.283,301.93,347.238,303.913,695.492,556.459,270.14,471.92,471.965,512.072,570.423,185,427.58,432.345,427.283,113.562,132.249,87.982,1205.764,827.091,1165.166,585.433,469.054,396.772,995.489,1323.429,371.419,385.206,99.477,99.88,73.072,1548.803,545.111,591.701,1183.5,362.957,372.446,527.043,133,237,676,406,682,484,166.323,155.67
1.3344,904.455,815.071,1188.23,176.234,166,125,827,475,247,161,171,366,599.442,342.441,552.027,303.919,350.169,304.612,709.077,562.52,278.988,495.032,476.712,513.546,574.728,181.5,423.083,439.472,432.826,114.538,137.604,89.639,1220.81,854.657,1162.175,579.61,469.352,393.897,1006.066,1301.916,384.369,400.516,100.586,99.271,73.157,1556.03,547.176,604.203,1187.22,371.879,377.282,532.468,139,224,680,399,703,484,169.765,156.859
1.5012,899.353,811.06,1191.886,179.475,162,121,829,472,239,156,172,380,595.643,342.374,561.503,306.479,354.79,307.003,715.436,574.049,285.672,510.148,475.733,513.868,578.042,177,423.931,437.068,440.32,116.263,138.128,92.132,1234.006,865.305,1184.913,570.884,464.113,395.212,1020.843,1281.975,395.465,397.786,100.557,97.005,73.157,1567.897,549.779,597.316,1184.349,373.585,381.581,542.973,140,214,673,391,717,483,167.162,158.11
